artist,popularity,followers,genres
Lana Del Rey,0,0,Unknown
Yuvan Shankar Raja,0,0,Unknown
Taylor Swift,0,0,Unknown
Anirudh Ravichander,0,0,Unknown
The Weeknd,0,0,Unknown
A.R. Rahman,0,0,Unknown
Harris Jayaraj,0,0,Unknown
Justin Bieber,0,0,Unknown
Cigarettes After Sex,0,0,Unknown
One Direction,0,0,Unknown
Rihanna,0,0,Unknown
Ed Sheeran,0,0,Unknown
Doja Cat,0,0,Unknown
Billie Eilish,0,0,Unknown
ZAYN,0,0,Unknown
G. V. Prakash,0,0,Unknown
Santhosh Narayanan,0,0,Unknown
Arctic Monkeys,0,0,Unknown
Post Malone,0,0,Unknown
Ariana Grande,0,0,Unknown
Tame Impala,0,0,Unknown
Ilaiyaraaja,0,0,Unknown
王雨尘,0,0,Unknown
Joji,0,0,Unknown
Hiphop Tamizha,0,0,Unknown
Selena Gomez,0,0,Unknown
Katy Perry,0,0,Unknown
Michael Jackson,0,0,Unknown
Britney Spears,0,0,Unknown
Beyoncé,0,0,Unknown
The Neighbourhood,0,0,Unknown
Bruno Mars,0,0,Unknown
Olivia Rodrigo,0,0,Unknown
Metro Boomin,0,0,Unknown
Devi Sri Prasad,0,0,Unknown
Lady Gaga,0,0,Unknown
Drake,0,0,Unknown
"Tyler, The Creator",0,0,Unknown
Kendrick Lamar,0,0,Unknown
Vijay Antony,0,0,Unknown
Karthik,0,0,Unknown
Adele,0,0,Unknown
Don Toliver,0,0,Unknown
Harry Styles,0,0,Unknown
The Marías,0,0,Unknown
Black Eyed Peas,0,0,Unknown
SZA,0,0,Unknown
Miley Cyrus,0,0,Unknown
Eminem,0,0,Unknown
Coldplay,0,0,Unknown
